"","source","target","weight","Type"
"671",17,185,1,"Undirected"
"672",20,185,1,"Undirected"
"673",22,185,2,"Undirected"
"674",27,185,2,"Undirected"
"675",7,186,1,"Undirected"
"676",27,186,1,"Undirected"
"677",27,187,2,"Undirected"
"678",1,188,1,"Undirected"
"679",10,188,2,"Undirected"
"680",27,188,1,"Undirected"
"681",1,189,2,"Undirected"
"682",10,189,2,"Undirected"
"683",11,189,1,"Undirected"
"684",23,189,1,"Undirected"
"685",24,189,1,"Undirected"
"686",2,190,1,"Undirected"
"687",2,191,1,"Undirected"
"688",9,191,1,"Undirected"
"689",21,191,1,"Undirected"
"690",1,192,5,"Undirected"
"691",2,192,1,"Undirected"
"692",3,192,5,"Undirected"
"693",7,192,2,"Undirected"
"694",9,192,1,"Undirected"
"695",10,192,10,"Undirected"
"696",14,192,1,"Undirected"
"697",19,192,1,"Undirected"
"698",23,192,1,"Undirected"
"699",3,193,1,"Undirected"
"700",10,193,1,"Undirected"
"701",3,194,1,"Undirected"
"702",21,194,1,"Undirected"
"703",27,194,1,"Undirected"
"704",2,195,1,"Undirected"
"705",4,195,7,"Undirected"
"706",8,195,2,"Undirected"
"707",27,195,1,"Undirected"
"708",7,196,2,"Undirected"
"709",20,196,1,"Undirected"
"710",25,196,1,"Undirected"
"711",8,197,1,"Undirected"
"712",9,197,1,"Undirected"
"713",11,197,1,"Undirected"
"714",19,197,3,"Undirected"
"715",20,197,3,"Undirected"
"716",21,197,1,"Undirected"
"717",11,198,1,"Undirected"
"718",13,198,4,"Undirected"
"719",13,199,4,"Undirected"
"720",24,199,1,"Undirected"
"721",9,200,1,"Undirected"
"722",13,200,1,"Undirected"
"723",3,201,1,"Undirected"
"724",15,201,1,"Undirected"
"725",17,201,2,"Undirected"
"726",26,201,2,"Undirected"
"727",18,202,1,"Undirected"
"728",11,203,2,"Undirected"
"729",19,203,3,"Undirected"
"730",20,203,1,"Undirected"
"731",2,204,1,"Undirected"
"732",3,204,2,"Undirected"
"733",7,204,1,"Undirected"
"734",8,204,1,"Undirected"
"735",9,204,1,"Undirected"
"736",14,204,2,"Undirected"
"737",20,204,2,"Undirected"
"738",7,205,1,"Undirected"
"739",19,205,1,"Undirected"
"740",20,205,3,"Undirected"
"741",20,206,1,"Undirected"
"742",15,207,1,"Undirected"
"743",21,207,1,"Undirected"
"744",3,208,1,"Undirected"
"745",7,208,1,"Undirected"
"746",9,208,2,"Undirected"
"747",11,208,3,"Undirected"
"748",13,208,1,"Undirected"
"749",15,208,1,"Undirected"
"750",18,208,3,"Undirected"
